group	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_extr-ctrl--extr-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_exudate-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-0d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-12d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-3d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-6d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-9d_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_	20190429_JJ_VB_BioSFA_Pttime_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_pellet-med-ctrl-_
file	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_3_extr-ctrl--extr-ctrl-_3_NA_010.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_4_extr-ctrl--extr-ctrl-_4_IR01_NA_055.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_1_extr-ctrl--extr-ctrl-_1_IR01_NA_082.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_2_extr-ctrl--extr-ctrl-_2_IR01_NA_175.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_11_exudate-0d_3_IR01_NA_091.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_12_exudate-0d_4_NA_016.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_9_exudate-0d_1_IR01_NA_121.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_10_exudate-0d_2_IR01_NA_085.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_28_exudate-12d_4_IR01_NA_046.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_26_exudate-12d_2_IR01_NA_067.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_25_exudate-12d_1_IR01_NA_109.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_27_exudate-12d_3_NA_025.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_13_exudate-3d_1_IR01_NA_103.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_14_exudate-3d_2_IR01_NA_160.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_15_exudate-3d_3_IR01_NA_178.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_16_exudate-3d_4_IR01_NA_034.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_18_exudate-6d_2_IR01_NA_112.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_19_exudate-6d_3_IR01_NA_070.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_17_exudate-6d_1_IR01_NA_166.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_20_exudate-6d_4_IR01_NA_127.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_22_exudate-9d_2_IR01_NA_076.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_23_exudate-9d_3_NA_028.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_21_exudate-9d_1_NA_019.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_24_exudate-9d_4_IR01_NA_145.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_5_exudate-med-ctrl-_1_IR01_NA_148.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_8_exudate-med-ctrl-_4_IR01_NA_064.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_6_exudate-med-ctrl-_2_IR01_NA_151.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_7_exudate-med-ctrl-_3_IR01_NA_031.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_36_pellet-0d_4_NA_022.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_35_pellet-0d_3_IR01_NA_118.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_33_pellet-0d_1_IR01_NA_088.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_34_pellet-0d_2_IR01_NA_133.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_52_pellet-12d_4_IR01_NA_163.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_51_pellet-12d_3_IR01_NA_058.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_50_pellet-12d_2_IR01_NA_130.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_49_pellet-12d_1_IR01_NA_142.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_38_pellet-3d_2_IR01_NA_037.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_39_pellet-3d_3_IR01_NA_115.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_40_pellet-3d_4_IR01_NA_154.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_37_pellet-3d_1_IR01_NA_097.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_42_pellet-6d_2_IR01_NA_079.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_41_pellet-6d_1_IR01_NA_052.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_43_pellet-6d_3_IR01_NA_136.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_44_pellet-6d_4_IR01_NA_043.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_47_pellet-9d_3_IR01_NA_061.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_48_pellet-9d_4_IR01_NA_049.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_46_pellet-9d_2_IR01_NA_094.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_45_pellet-9d_1_IR01_NA_157.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_30_pellet-med-ctrl-_2_NA_013.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_31_pellet-med-ctrl-_3_IR01_NA_169.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_29_pellet-med-ctrl-_1_IR01_NA_124.h5	20190429_JJ_VB_BioSFA_Pttime_1_QE144_Ag68377-924_USHXG01160_POS_MSMS-v2_32_pellet-med-ctrl-_4_IR01_NA_100.h5
0005_5methylthioadenosine_positive_M+H298p0969_1p32	19565.41016	380805.2324	284402.3848	92763.56641	2014649.42	3535098.621	4237714.105	6714902.586	3582778446	4341861120	4374620679	3614299441	138354211.7	103280932.9	155815514.2	134384459.7	1181335546	1573026686	1429719284	1321260734	4525756693	4310500056	4358169314	3152478034	39204.14063	276710.4531		204797.4883	271671.5723	4188348.557	512559.4883	3318114.799	515376227.7	844424507.7	436743542.8	322663503.6	13908708.93	15624940.83	26143523.77	31570459.63	1030987957	859525999.3	933965237.4	1292824052	762395220.9	724778297.8	1142029532	783874678.8			59383.17383	158060.2109
0006_5deoxyadenosine_positive_M+H252p1091_1p49	3575631.301	12948345.59	255830.0059	783709.6045	1639168.818	575704.6641	1277439.764	1227175.184	110193269.2	162324533.9	365161681.9	158512781.7	32906622.93	26810322.96	34446279.44	34290489.29	113206008.7	116844886.2	128415130.7	91671041.06	113598192.2	63829041.89	126193170.2	79336184.69				26354.16992	201031.5469	4940109.146	22577.69141	134782.415	3362412.203	4785521.289	1202321.922	602656.4844	3304248.201	9196831.756	3652637.145	6070597.689	4401647.861	6358768.535	4307546.367	4942591.441	395307.3984	1096785.867	1266535.059	227934.8125	501236.835			66421.00977
0007_pyridoxine_positive_M+H170p0812_1p83	7423320.781	1895585.647	1840417.575	1528388.108	253707.1924	382942.5156	1067422.883	855558.1094	77784389.33	62554946.66	10205071.09	34588783.14	936650.6152	1024911.799	870075.5859	663271.7656	2396038.418	1230144.512	2172488.221	1517390.32	21883661.55	7621520.406	31684216.9	9859150.094	1486076.063	445012.4688	453800.3887	441955.5234	680840.1074	1683330.899	330114.9717	150574.9209		181667.0703	76474.53906	100337.2969	380929.7012	1718210.094	487626.1191	125686.7734	257342.5586	891586.5156	53419.375	527505.1758	43287.88672				3954744.307	337688.1074	88384.69336	449998.0313
0008_2deoxyadenosine_positive_M+H252p1091_1p91	3575631.301	12948345.59	255830.0059	783709.6045	1639168.818	575704.6641	1277439.764	1227175.184	110193269.2	162324533.9	365106185.1	158512781.7	32906622.93	26810322.96	34446279.44	34290489.29	113206008.7	116754354.2	128415130.7	91671041.06	113598192.2	63829041.89	126193170.2	79336184.69				26354.16992	201031.5469	4940109.146	22577.69141	134782.415	3362412.203	4785521.289	1202321.922	602656.4844	3304248.201	9196831.756	3652637.145	6070597.689	4401647.861	6358768.535	4307546.367	4942591.441	395307.3984	1096785.867	1136245.598	227934.8125	501236.835			66421.00977
0009_adenosine_positive_M+H268p1041_2p72	26075872.49	27407373.74	25924671.11	8393552.637	12741903.4	232558287.2	206413823.3	249302961.3	7708023847	9284085057	10997460675	9755603440	503701565.5	423820959	482205478.1	470669246.7	2637043411	2710139143	3121946307	2416266051	8294430323	8506373667	7620699745	6578165432	15106893.41	19051429.48	13458924.41	4928371.421	25112719.75	33887015.82	34006581.82	22816830.39	6938369680	38743148692	2879127962	3634747415	66378645.32	81133731.1	96815090.64	90847236.22	301317085.4	295023011.4	494047254.1	362513279.3	4361378873	5789756872	5516184228	955269402.8	15860107.22	21964923.55	12036016.37	14774667.79
0010_biotin_positive_M+H245p0955_3p09					4472430.064	117526182.8	119966945.1	163911777.3	799684510.4	704876812.8	851214136.9	511520757.5	211300979.7	193817014.5	257513721	203657271.3	228872929.1	348701078.9	300020061.4	22011579.32	694654898.5	690992253.5	576995337.6	513088391.1	123624408.5	144017901.5	131565885.5	14829236.02	17244.20313	124531.498		239084.9648	1903006.281	1119803.109	230128.3008	126030.7227	3596802.318	4972817.793	7791455.619	10545456.4	47355883.73	48839211.2	65243954.52	65317740.08	9924339.434	16523790.11	5713215.957	2395483.619				
0011_choline_positive_M104p1070_3p80	202625817.6	72407965.74	510703243.6	103489210.3	62026165.94	16890650.91	11464850.38	17243303.27	63673391.92	45492569.41	61126026.95	47803725.04	21074466.18	32948770.23	14069660.33	18713986.13	16902623.9	27195462.35	13693204.28	68726939.53	32331386.36	66411091.53	45219132.68	34794354.38	66683454.78	24837400.36	21930851.35	54993299.6	27001469.1	39920290.28	106297803.3	31149711.32	2794527853	65977143594	7395552677	11477620916	57696524.35	29331231.35	30932718.92	66297893.58	132763538.8	1612062099	287841861.4	156948963.5	5654170581	6300215448	3409769690	6484448515	35033579.94	29215323.82	14678693.09	26478479.95
0012_riboflavin_positive_M+H377p1456_4p19						781127.3535	640914.0449	333702.1846	13257600.4	9809767.094	6993141.588	8932953.011	2408436.624	3856063.744	4838986.297	3881017.759	2803950.137	1834910.123	2554331.918	2910904.208	2388759.477	11569275.31	3804331.217	7317723.064					88636.48535	10869.54492	29004.25	14654.46875	19502788.84	17295345.21	29164500.1	26940514.07	188650.8447	185349.6934	332867.75	454399.6914	9070205.939	10126516.68	11823974.39	10126878.03	18677223.65	12615339.16	29666851.32	14000945.23	12363.44629			
0014_guanine_positive_M+H152p0567_5p86	5808429.169	6915683.074	4969160.002	2955732.367	3528591.062	3051477.907	2414125.429	2462645.817	192202850.9	159211086.9	29040248.44	120982974	3985255.586	3230128.33	2697474.92	3150692.781	20442850.2	22195574.01	18110132.52	7863894.109	188457267.2	381061421.1	159720696.8	334953660.5	2680733.14	3245740.982	2551262.815	2284506.162	2385341.947	4844712.491	2819110.245	2388379.588	114115359.5	2488164248	163796391.5	172890241.8	4283712.084	5576063.316	2516976.76	3227860.334	14505772.59	56422299.95	34673201.39	30734711.45	390242016.2	372729616.5	219377220.9	218576497.3	3330493.101	2301838.262	1978573.499	2316673.064
